Data,CUB_SC,INCC,IGPM,IPCA,INPC,SELIC,USD
2012-09-01,0.11,0.22,0.97,0.57,0.63,0.54,-0.06405834236720143
2012-10-01,0.25,0.21,0.02,0.59,0.71,0.61,0.08382229673093988
2012-11-01,0.18,0.33,-0.03,0.6,0.54,0.55,1.8721056261700841
2012-12-01,0.3,0.16,0.68,0.79,0.74,0.55,0.4836057645807079
2013-01-01,0.05,0.65,0.34,0.86,0.92,0.6,-2.247569544710748
2013-02-01,0.47,0.6,0.29,0.6,0.52,0.49,-2.8457486091280515
2013-03-01,0.44,0.5,0.21,0.47,0.6,0.55,0.4814270511326102
2013-04-01,0.43,0.74,0.15,0.55,0.59,0.61,0.9784143635263476
2013-05-01,4.05,2.25,0.0,0.37,0.35,0.6,1.6282089701328495
2013-06-01,1.53,1.15,0.75,0.26,0.28,0.61,6.7918222921171445
2013-07-01,0.45,0.48,0.26,0.03,-0.13,0.72,3.644730786930528
2013-08-01,0.38,0.31,0.15,0.24,0.16,0.71,3.9960927093508403
2013-09-01,0.28,0.43,1.5,0.35,0.27,0.71,-3.0612244897959107
2013-10-01,0.3,0.26,0.86,0.57,0.61,0.81,-3.607134992292449
2013-11-01,0.15,0.35,0.29,0.54,0.54,0.72,4.879831855980976
2013-12-01,0.34,0.1,0.6,0.92,0.72,0.79,2.1826261218088394
2014-01-01,0.37,0.88,0.48,0.55,0.63,0.85,1.564698358558947
2014-02-01,0.53,0.33,0.38,0.69,0.64,0.79,0.06296700528922727
2014-03-01,0.36,0.28,1.67,0.92,0.82,0.77,-2.4164114611738174
2014-04-01,0.29,0.88,0.78,0.67,0.78,0.82,-4.01100554576328
2014-05-01,2.77,2.05,-0.13,0.46,0.6,0.87,-0.5329630956646514
2014-06-01,2.71,0.66,-0.74,0.4,0.26,0.82,0.6573911477329109
2014-07-01,0.22,0.75,-0.61,0.01,0.13,0.95,-0.4875866696488429
2014-08-01,0.22,0.08,-0.27,0.25,0.18,0.87,1.9509125235997349
2014-09-01,0.21,0.15,0.2,0.57,0.49,0.91,2.8615520282186946
2014-10-01,0.19,0.17,0.28,0.42,0.38,0.95,4.946632946118568
2014-11-01,0.15,0.44,0.98,0.51,0.53,0.84,4.088551239635652
2014-12-01,0.23,0.08,0.62,0.78,0.62,0.96,3.570867995605087
2015-01-01,0.31,0.92,0.76,1.24,1.48,0.94,-0.19701447298630104
2015-02-01,0.19,0.31,0.27,1.22,1.16,0.82,6.9205071748538405
2015-03-01,0.63,0.62,0.98,1.32,1.51,1.04,11.468134209124802
2015-04-01,0.54,0.46,1.17,0.71,0.71,0.95,-3.0673674151935004
2015-05-01,4.17,0.95,0.41,0.74,0.99,0.99,0.607912723449
2015-06-01,0.89,1.84,0.67,0.79,0.77,1.07,1.6330796616258914
2015-07-01,0.17,0.55,0.69,0.62,0.58,1.18,3.580036635922501
2015-08-01,0.62,0.59,0.28,0.22,0.25,1.11,9.034780180571488
2015-09-01,0.42,0.22,0.95,0.54,0.51,1.11,11.160117235295797
2015-10-01,0.2,0.36,1.89,0.82,0.77,1.11,-0.6757967490080619
2015-11-01,0.49,0.34,1.52,1.01,1.11,1.06,-2.6700342774670816
2015-12-01,0.2,0.1,0.49,0.96,0.9,1.16,2.5049649146034803
2016-01-01,0.14,0.39,1.14,1.27,1.51,1.06,4.683423316370017
2016-02-01,0.22,0.54,1.29,0.9,0.95,1.0,-1.9420590267495652
2016-03-01,0.09,0.64,0.51,0.43,0.44,1.16,-6.7896418954626725
2016-04-01,0.18,0.55,0.33,0.61,0.64,1.06,-3.728502389373367
2016-05-01,3.04,0.08,0.82,0.78,0.98,1.11,-0.7431712378708877
2016-06-01,0.98,1.93,1.69,0.35,0.47,1.16,-3.243579238832528
2016-07-01,0.15,0.49,0.18,0.52,0.64,1.11,-4.348080011680544
2016-08-01,0.16,0.29,0.15,0.44,0.31,1.22,-2.0118451581389585
2016-09-01,0.14,0.33,0.2,0.08,0.08,1.11,1.4549646384397263
2016-10-01,0.17,0.21,0.16,0.26,0.17,1.05,-2.1680383245301638
2016-11-01,0.31,0.16,-0.03,0.18,0.07,1.04,4.903007093979528
2016-12-01,0.1,0.34,0.54,0.3,0.14,1.12,0.30819868342308876
2017-01-01,0.28,0.41,0.64,0.38,0.42,1.09,-4.644572383139933
2017-02-01,0.13,0.65,0.08,0.33,0.24,0.87,-2.890571231933936
2017-03-01,0.14,0.16,0.01,0.25,0.32,1.05,0.7634817344243316
2017-04-01,0.11,-0.02,-1.1,0.14,0.08,0.79,0.26535375171841125
2017-05-01,2.41,0.63,-0.93,0.31,0.36,0.93,2.3372233913653284
2017-06-01,1.36,0.93,-0.67,-0.23,-0.3,0.81,2.676429350366094
2017-07-01,0.59,0.3,-0.72,0.24,0.17,0.8,-2.7098379559385766
2017-08-01,0.08,0.36,0.1,0.19,-0.03,0.8,-1.7217179751099487
2017-09-01,0.25,0.06,0.47,0.16,-0.02,0.64,-0.5109651210765231
2017-10-01,0.23,0.31,0.2,0.42,0.37,0.64,1.7991578410105902
2017-11-01,0.25,0.31,0.52,0.28,0.18,0.57,2.1371270995236946
2017-12-01,0.17,0.07,0.89,0.44,0.26,0.54,0.9971160336258222
2018-01-01,0.15,0.31,0.76,0.29,0.23,0.58,-2.469698350496674
2018-02-01,0.22,0.13,0.07,0.32,0.18,0.47,0.9624369276770572
2018-03-01,0.34,0.24,0.64,0.09,0.07,0.53,1.1630418016350452
2018-04-01,0.23,0.29,0.57,0.22,0.21,0.52,3.9125396438155713
